Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,132.6,135.4,127.0,128.0,127.95,108702.0,141.42
2016-06-16,132.1,136.0,128.0,130.5,130.25,188369.0,247.9
2016-06-15,137.15,139.4,133.5,134.1,135.6,166196.0,227.92
2016-06-14,135.3,140.0,135.0,136.5,135.95,155522.0,213.03
2016-06-13,127.4,140.05,122.0,134.0,134.05,397884.0,530.45
2016-06-10,131.55,133.75,121.1,127.4,127.35,119664.0,154.44
2016-06-09,134.9,136.45,130.75,133.0,131.95,78198.0,103.66
2016-06-08,135.6,141.45,133.0,133.7,134.85,192065.0,263.48
2016-06-07,137.0,142.0,130.7,133.0,133.85,193068.0,261.7
2016-06-06,145.0,149.85,133.1,136.7,136.55,244591.0,343.93
2016-06-03,146.5,150.85,133.2,144.2,144.4,581476.0,853.29
2016-06-02,134.0,137.15,133.4,137.15,137.15,251024.0,342.22
2016-06-01,124.9,130.65,120.1,130.65,130.65,482093.0,625.82
2016-05-31,130.1,132.8,124.25,124.25,124.45,107994.0,138.18
2016-05-30,128.0,132.1,124.0,130.05,130.75,140025.0,180.62
2016-05-27,131.0,133.95,127.55,127.55,127.55,260878.0,337.06
2016-05-26,142.3,146.75,132.85,132.85,134.25,739251.0,1060.8
2016-05-25,126.5,139.8,126.5,139.8,139.8,805402.0,1079.83
2016-05-24,133.15,133.15,133.15,133.15,133.15,12692.0,16.9
2016-05-23,140.15,140.15,140.15,140.15,140.15,16723.0,23.44
2016-05-20,157.9,158.8,147.5,147.5,147.5,124648.0,188.8
2016-05-19,155.25,155.25,150.0,155.25,155.25,240680.0,372.55
2016-05-18,147.9,147.9,143.0,147.9,147.9,60513.0,89.41
2016-05-17,129.15,140.9,124.1,140.9,140.9,852355.0,1156.09
2016-05-16,126.15,130.0,114.0,127.9,128.1,902180.0,1126.55
2016-05-13,122.25,128.5,110.3,123.0,124.1,2573081.0,3112.98
2016-05-12,111.7,116.85,109.0,116.85,116.85,1200805.0,1389.12
2016-05-11,98.0,106.25,91.3,106.25,106.25,2289926.0,2347.89
2016-05-10,87.0,88.55,84.0,88.55,88.55,461904.0,401.85
2016-05-09,73.8,73.8,73.8,73.8,73.8,88968.0,65.66
2016-05-06,65.0,66.1,60.65,61.7,61.5,98557.0,61.62
2016-05-05,64.15,67.8,63.9,65.3,64.65,80750.0,53.09
2016-05-04,66.2,69.3,63.0,65.8,65.8,112487.0,75.01
2016-05-03,61.15,68.85,60.1,66.0,66.0,388290.0,258.49
2016-05-02,59.0,60.85,55.65,59.5,59.6,65351.0,37.95
