Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-24,1062.25,1086.45,1042.0,1078.95,1080.5,5361086.0,57171.1
2016-06-23,1076.3,1115.0,1076.3,1112.75,1110.8,3861764.0,42488.01
2016-06-22,1075.0,1081.6,1066.8,1080.0,1078.85,2021093.0,21754.94
2016-06-21,1078.05,1080.0,1066.35,1068.5,1071.4,1517752.0,16265.01
2016-06-20,1057.95,1079.0,1055.35,1074.75,1075.25,1506654.0,16108.15
2016-06-17,1065.0,1075.0,1060.0,1067.0,1070.85,2108349.0,22553.57
2016-06-16,1066.0,1067.35,1047.45,1058.2,1060.55,2264515.0,23948.05
2016-06-15,1068.55,1073.45,1057.1,1069.55,1070.9,1819153.0,19363.53
2016-06-14,1065.1,1071.7,1057.55,1062.9,1064.6,1545766.0,16463.18
2016-06-13,1057.95,1071.75,1052.4,1068.0,1065.15,2697672.0,28645.78
2016-06-10,1042.6,1068.4,1040.6,1064.0,1063.3,3495345.0,37084.45
2016-06-09,1053.8,1059.7,1036.65,1040.85,1040.05,2659678.0,27751.23
2016-06-08,1065.5,1066.1,1044.9,1058.8,1053.8,2932512.0,30890.11
2016-06-07,1072.5,1085.35,1062.1,1063.0,1066.2,6520691.0,70126.7
2016-06-06,1050.0,1069.0,1044.55,1067.0,1064.7,3259612.0,34492.03
2016-06-03,1055.0,1059.8,1042.1,1049.2,1049.4,3032449.0,31814.94
2016-06-02,1014.25,1052.5,1011.65,1052.5,1049.05,2982433.0,30815.47
2016-06-01,1031.5,1033.9,1005.55,1023.0,1017.9,2442702.0,24895.8
2016-05-31,1027.0,1046.0,1019.9,1023.85,1033.0,11491701.0,118873.28
2016-05-30,1024.4,1034.85,1021.3,1026.15,1026.95,2923752.0,30068.67
2016-05-27,1025.0,1041.8,1018.0,1023.4,1025.5,3698258.0,38077.19
2016-05-26,1000.0,1026.0,997.1,1022.2,1021.05,3303648.0,33425.52
2016-05-25,985.0,999.2,985.0,997.0,996.0,2426555.0,24090.73
2016-05-24,975.05,985.55,971.15,976.2,977.0,2165600.0,21193.09
2016-05-23,982.75,985.0,974.5,975.05,978.1,2260292.0,22143.88
2016-05-20,974.9,981.5,964.5,980.1,977.7,2674843.0,26075.27
2016-05-19,971.7,987.0,964.5,965.0,966.9,3088899.0,30199.0
2016-05-18,966.4,977.65,962.85,970.9,971.25,2938282.0,28527.49
2016-05-17,988.7,999.85,967.7,969.45,969.95,6444720.0,63553.81
2016-05-16,952.95,987.1,945.2,987.1,980.3,5211492.0,50334.68
2016-05-13,956.05,960.9,944.1,948.0,950.55,3165152.0,30087.47
2016-05-12,956.0,967.4,950.1,954.1,955.05,2639166.0,25324.18
